dataset_variant,target,method,model,split,unit,n,sacrebleu,chrf_corpus,chrf_mean,rouge_l_mean,token_f1_mean,mean_latency_s,source,notes
dataset_enriched,enriched_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,157,8.593257333086166,31.710537699569528,0.3134561213630581,0.20968339369608066,0.2666207280632328,0.0014384835469091583,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_valid_tfidf.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_enriched,enriched_answer,retrieval_tfidf_train_only,TF-IDF,test,case,314,8.521658029223902,29.15818345143179,0.3010638802769866,0.21624119253658972,0.26587351152371236,0.0007757943184381932,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_test_tfidf.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_enriched,enriched_answer,retrieval_e5_train_only,intfloat/multilingual-e5-small,valid,case,157,8.717334218487759,31.84718475668667,0.31701710952308476,0.20016802232526223,0.26019790244024543,0.2877162048848239,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_valid_e5.csv,intfloat/multilingual-e5-small retrieval with train split as the only retrieval index
dataset_enriched,enriched_answer,retrieval_e5_train_only,intfloat/multilingual-e5-small,test,case,314,8.638445107438201,29.79001023673593,0.306049117254275,0.21176577098894195,0.25855727302282616,0.14399796204825352,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_test_e5.csv,intfloat/multilingual-e5-small retrieval with train split as the only retrieval index
dataset_enriched,enriched_answer,retrieval_sbert_train_only,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,valid,case,157,7.296504798364756,24.78337613776255,0.26423234900635334,0.19618300783838816,0.2256103853138894,0.13320435827989488,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_valid_sbert.csv,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2 retrieval with train split as the only retrieval index
dataset_enriched,enriched_answer,retrieval_sbert_train_only,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,test,case,314,8.996380520398832,30.10903187665619,0.31408717210864645,0.22647996855943284,0.27431646249456126,0.04445377866230359,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_test_sbert.csv,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2 retrieval with train split as the only retrieval index
dataset_enriched,enriched_answer,retrieval_visual_train_only,BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,valid,case,157,8.639683088323505,29.539745786826018,0.30950636276502685,0.21310053822892014,0.2583719418584015,0.7067893954323142,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_valid_visual.csv,BiomedCLIP-PubMedBERT_256-vit_base_patch16_224 retrieval with train split as the only retrieval index
dataset_enriched,enriched_answer,retrieval_visual_train_only,BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,test,case,314,8.53415188622324,30.094522361322067,0.30579436227876555,0.20760483906289212,0.2597160532533219,0.36335256661415977,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_test_visual.csv,BiomedCLIP-PubMedBERT_256-vit_base_patch16_224 retrieval with train split as the only retrieval index
dataset_enriched,enriched_answer,retrieval_multimodal_train_only,E5-small + BiomedCLIP late fusion,valid,case,157,8.856318110921196,30.365812438527517,0.30853458998685546,0.21444536516696197,0.26231932738615255,1.0436673492614394,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_valid_multimodal.csv,E5-small + BiomedCLIP late fusion retrieval with train split as the only retrieval index; alpha=0.6 (text weight)
dataset_enriched,enriched_answer,retrieval_multimodal_train_only,E5-small + BiomedCLIP late fusion,test,case,314,8.475807177575923,29.640132485466182,0.3031047716788397,0.21032084752888128,0.2578664983293707,0.5416345713885536,outputs/results/dataset_enriched/retrieval_textual_heldout/predictions_test_multimodal.csv,E5-small + BiomedCLIP late fusion retrieval with train split as the only retrieval index; alpha=0.6 (text weight)
