dataset_variant,target,method,model,split,unit,n,sacrebleu,chrf_corpus,chrf_mean,rouge_l_mean,token_f1_mean,mean_latency_s,source,notes
dataset_longest_answer_by_image,longest_answer,retrieval_tfidf_train_only,TF-IDF,valid,case,157,0.13009074017702565,11.218809067642013,0.13796766747813857,0.05912431986207535,0.07587926559658238,0.0015030084904520565,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_valid_tfidf.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_longest_answer_by_image,longest_answer,retrieval_tfidf_train_only,TF-IDF,test,case,314,0.7850392943731457,13.50130601817192,0.1560810328811299,0.05950804445880008,0.07779461127687426,0.0007994641715981019,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_test_tfidf.csv,TF-IDF retrieval with train split as the only retrieval index
dataset_longest_answer_by_image,longest_answer,retrieval_e5_train_only,intfloat/multilingual-e5-small,valid,case,157,0.11627004086494633,10.331878793309361,0.1533534742722783,0.07297179255642952,0.09204403421151854,0.29601957643357146,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_valid_e5.csv,intfloat/multilingual-e5-small retrieval with train split as the only retrieval index
dataset_longest_answer_by_image,longest_answer,retrieval_e5_train_only,intfloat/multilingual-e5-small,test,case,314,0.18648490343518576,12.739645262707795,0.15505535448150354,0.07295110306784088,0.09521708778328661,0.14146059394923816,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_test_e5.csv,intfloat/multilingual-e5-small retrieval with train split as the only retrieval index
dataset_longest_answer_by_image,longest_answer,retrieval_sbert_train_only,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,valid,case,157,0.08249678119017213,8.991913051987664,0.12189308159472655,0.05769115532345895,0.07656397918603272,0.10687380175218936,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_valid_sbert.csv,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2 retrieval with train split as the only retrieval index
dataset_longest_answer_by_image,longest_answer,retrieval_sbert_train_only,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,test,case,314,0.39862318030209387,16.088226172911263,0.17447499255875593,0.07698824165962966,0.09897716454453057,0.045477127522129304,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_test_sbert.csv,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2 retrieval with train split as the only retrieval index
dataset_longest_answer_by_image,longest_answer,retrieval_visual_train_only,BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,valid,case,157,0.21805793115618544,12.743597074830712,0.17016074369857362,0.07364615798497333,0.10008223598032413,0.7152682760060071,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_valid_visual.csv,BiomedCLIP-PubMedBERT_256-vit_base_patch16_224 retrieval with train split as the only retrieval index
dataset_longest_answer_by_image,longest_answer,retrieval_visual_train_only,BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,test,case,314,0.4325708594286141,14.872381044712254,0.17295719766185297,0.0764001362469011,0.10246821173381347,0.3664812961790509,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_test_visual.csv,BiomedCLIP-PubMedBERT_256-vit_base_patch16_224 retrieval with train split as the only retrieval index
dataset_longest_answer_by_image,longest_answer,retrieval_multimodal_train_only,E5-small + BiomedCLIP late fusion,valid,case,157,0.23824321002651042,10.03910167580577,0.1432173336922258,0.06177522526804954,0.08009022553820541,1.043652563432979,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_valid_multimodal.csv,E5-small + BiomedCLIP late fusion retrieval with train split as the only retrieval index; alpha=0.6 (text weight)
dataset_longest_answer_by_image,longest_answer,retrieval_multimodal_train_only,E5-small + BiomedCLIP late fusion,test,case,314,0.3227839690050367,12.818856888647993,0.1525373351599786,0.06623804349275002,0.08493164006662951,0.5624475334392813,outputs/results/dataset_longest_answer_by_image/retrieval_textual_heldout/predictions_test_multimodal.csv,E5-small + BiomedCLIP late fusion retrieval with train split as the only retrieval index; alpha=0.6 (text weight)
