dataset_variant,model,split,encounter_id,similarity_score,rouge_l,chrf,token_f1,bertscore_f1
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00001,0.652164,0.0792079207920792,0.1387713161553073,0.0631578947368421,0.6151966452598572
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00002,0.633275,0.0,0.0676664174316044,0.0,0.5984054207801819
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00003,0.760048,0.074074074074074,0.1129883874529182,0.0769230769230769,0.6743778586387634
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00004,0.697967,0.0,0.1557772492369523,0.0,0.6149757504463196
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00005,0.62758,0.0,0.1234781324474751,0.0,0.634878933429718
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00006,0.714174,0.1666666666666666,0.1959204082241595,0.1818181818181818,0.6850506663322449
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00007,0.724829,0.0808080808080808,0.0523801860926516,0.0465116279069767,0.6349883675575256
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00008,0.742644,0.1188118811881188,0.2944248086279065,0.1304347826086956,0.6720104813575745
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00009,0.728092,0.0769230769230769,0.2524858173104582,0.0869565217391304,0.6661429405212402
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00010,0.577083,0.1071428571428571,0.0997392090089002,0.1089108910891089,0.6694108843803406
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00011,0.60566,0.0,0.1258151742454189,0.0,0.6172468662261963
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00012,0.659844,0.0,0.1803914713655052,0.0,0.6491419672966003
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00013,0.689971,0.2105263157894737,0.2095031540515065,0.1333333333333333,0.6936270594596863
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00014,0.729496,0.1132075471698113,0.2013738058308514,0.125,0.6333152651786804
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00015,0.648933,0.0606060606060606,0.0792606214879028,0.0655737704918032,0.652415931224823
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00016,0.629255,0.0,0.1598690597308153,0.0,0.5884829759597778
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00017,0.668232,0.0666666666666666,0.2270203388753905,0.072072072072072,0.6516222953796387
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00018,0.638049,0.0,0.1243267585657155,0.0,0.6471630930900574
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00019,0.800399,0.074074074074074,0.1341402267411054,0.16,0.6565093994140625
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00020,0.62654,0.0714285714285714,0.2909269985890116,0.08,0.7113590240478516
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00021,0.724833,0.1016949152542372,0.0824189430663492,0.150943396226415,0.6180793046951294
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00022,0.678789,0.0769230769230769,0.0828797521133485,0.0869565217391304,0.6653174757957458
longest_answer,retrieval_multimodal/multimodal_alpha0.60_results,train,ENC00023,0.679373,0.1071428571428571,0.2154790010369858,0.1176470588235294,0.617814302444458
